,ColUnica
0,Fake 1 41 rae incluirá palabra lady diccionario idioma español definición mujer problemática rae incluirá palabra lady diccionario idioma español definición mujer problemática españa presidente real academia española rae darío villanueva informó conferencia prensa partir próximo mes incluirá término lady nueva palabra diccionario idioma español darío señaló lady servirá definir mujer problemática mujer causa problemas mencionó palabra pocas utilizan idioma inglés castellano significado diferente son contadas palabras idioma inglés utilizan español significado globalización personas comenzado adoptar términos anglosajones utilizan significado real embargo caso expresión lady significará mismo idioma original dama inglés sino usará definir mujer problemática acostumbra causar problemas alborotos gente podrá decirle lady fémina cause algún escándalo agresiva provoque algún tipo problema término dejara considerarse palabra exclusiva idioma inglés tras incluida diccionario lengua española pasara ser palabra oficial castellano significado distinto confesó villanueva presentó medios definición oficial aparecerá diccionarios señalando siguiente lady anglosajón ænglisc part difficilis problematica ferox agresiva number adj f mujer excesivamente problemática number adj f mujer causa problemas alborotos number adj f mujer tiende causar conflictos agresiva puede interesar cholas descubren donitas bimbo pueden comer solo sirven maquillarse number adj f mujer guía instintos animales importa crear conflictos presidente señaló miembros mexicanos rae propuso incluir palabra tras meses análisis finamente aceptada comité es término origen méxico usará países habla hispana videos lady´s circulado sirvieron crear perfecta definición servirá resumir definir hembra problemática dijo último darío reveló encuentran analizando idea incluir término lord diccionario equivalente definición masculina lady http://www.elruinaversal.com/2017/06/10/rae-incluira-la-palabra-lady-en-el-diccionario-del-idioma-espanol-como-definicion-de-mujer-problematica/ 
1,Fake 1 63 palabra haiga aceptada rae palabra haiga aceptada rae real academia lengua rae aceptado uso haiga utilización tres personas singular presente subjuntivo verbo hacer aunque asegura forma recomendable lengua culta tiempo sigue siendo haya así confirmado fuentes rae explican cambio sido propuesto aprobado pleno academia lengua tras extendida utilización territorio nacional todo empleado personas carentes estudios estudios básicos graduado escolar objeto burla compañero diario repite aquello mientras haiga faena podemos quejarnos abuela repite aquello el haiga sacao juguetes recoja palabras novedosas aceptado rae contamos descambiar significa deshacer cambio ejemplo devolver compra visto visto nadie apostaría palabra follamigos siguiente lista https://haynoticia.es/la-palabra-haiga-aceptada-la-rae9999/ 
2,Fake 1 41 yordi rosado escribirá diseñará nuevos libros texto sep hacerlos atractivos yordi rosado escribirá diseñará nuevos libros texto sep hacerlos atractivos méxico director secretaría educación pública aurelio nuño informó dramaturgo conductor yordi rosado encargado redactar nuevos libros texto reparten todas escuelas país partir próximo ciclo escolar dejarán ser gratuitos costo aurelio señala decidió contratar yordi escribir manuales fin hacer más atractivos textos alumnos interesen aprender libros dejarán tener lenguaje aburrido presentados idioma más fresco juvenil moderno desafortunadamente gobierno recursos seguir regalando libros partir próximo ciclo escolar padres familia deberán hacer pequeño sacrificio pagar módica cantidad hijos puedan seguir aprendiendo realmente simbólico cada libro costará solo usdnumber pesitos precio bajo si cuenta niños podrán forjarse futuro decidimos contratar rosado queríamos hacer libros calidad atractivos nueva generaciones dijo nuño menciona conductor explicará estudiantes materias matemáticas historia geografía español temas idioma alegre jocoso hacer disfrutable aprendizaje queremos niños lleguen casas abran gustosos libros texto vez aburran hojearlos ¿qué ondiux matemáticas ejemplar matemáticas ¿qué pex spanish edición español cada texto redactado forma atractiva padrísimos dibujos ilustraciones diseñadas mismo rosado comentó director menciona yordi redactará libros primaria secundaria prepa él domina bien lenguaje adolescentes pre adolescentes niños realmente hizo labor investigación grande entender dominar perfección lenguaje nuevas generaciones estudiantes definitivamente van disfrutar textos van identificar idioma juvenil rosado respetó contenidos alterarlos logró convertirlos lenguaje chaviza grande quedé picado leerlos neta padrísimos puntualizó riendo director http://www.elruinaversal.com/2018/05/06/yordi-rosado-escribira-y-disenara-los-nuevos-libros-de-texto-de-la-sep-para-hacerlos-mas-atractivos/ 
3,True 1 27 unam capacitará maestros aprobar prueba pisa unam capacitará maestros aprobar prueba pisa máxima casa estudios sep firmaron cinco convenios facultades ciencias química así instituto matemáticas enseñen profesores estrategias impartir disciplinas alumnos preescolar primaria secundaria universidad nacional autónoma méxico unam capacitará profesores educación obligatoria matemáticas ciencias lectura enseñanza materias escuelas públicas necesidad mejorar resultados méxico pruebas internacionales aprovechamiento escolar pisa firma convenio general cuatro específicos colaboración universidad nacional secretaría educación pública sep rector enrique graue wiechers señaló objetivos instrumentos facultades ciencias química así instituto matemáticas máxima casa estudios colaboren dependencia federal ofrecer cursos capacitación maestros mexicanos http://www.eluniversal.com.mx/articulo/nacion/sociedad/2017/02/8/unam-capacitara-maestros-para-aprobar-prueba-pisa 
4,Fake 1 81 pretenden aprobar libros escolares contenido sesgado conflicto armado interno alerta pretenden aprobar libros escolares contenido sesgado conflicto armado interno sigue campaña negacionista fujimorismo vez congreso bancada fuerza popular fp presionó revisen textos escolares contenidos época terrorismo según denuncia coordinadora nacional derechos humanos cnddhh acuerdo organización ministerio educación minedu punto aprobar libros primero segundo tercero secundaria contenidos sesgados periodo conflicto armado interno faltando así verdad memoria cientos miles víctimas violencia terror desatadas años number number perú cnddhh denunció resultado convenio suscrito setiembre number entonces ministro educación idel vexler presidente congreso fujimorista luis galarreta conformación comisión incluía personajes exvicepresidente alberto fujimori francisco tudela vicealmirante retiro implicado matanza frontón luis giampietri proceso revisión realizado talleres participaron congresistas asesores fp miembros retiro fuerzas armadas lugar instituciones especialistas expertos asuntos pedagógicos derechos humanos sentido cnddhh advirtió modalidad injerencia congreso competencias corresponden poder ejecutivo cnddhh sostuvo finalidad negar hechos ocurridos así las responsabilidades distintos actores cometieron graves crímenes humanidad sometieron país miedo terror incluyendo responsabilidad propio estado pronunciamiento cnddhh minedu textos escolares políticas educativas pueden desconocer pasado país pronunciamiento coordinadora nacional derechos humanos cnddhh frente propuesta ministerio educación minedu contenidos enseñanza terrorismo perú textos escolares pretenden validar imprimir extrema celeridad señala alerta ciudadanía carácter urgencia siguiente number actual congreso república mayoría vienen ejerciendo presiones poder ejecutivo demás entidades favorecer intereses particulares resultan lesivos país mayorías ciudadanas contexto desplegado agresiva campaña pretende negar visión comprehensiva período conflicto armado interno cai así responsabilidades distintos actores cometieron graves crímenes humanidad sometieron país miedo terror incluyendo responsabilidad propio estado number campaña negacionismo propuesto imponer través minedu visión sesgada historia hechos cai afectando así derecho verdad ciudadanía particular niñas niños adolescentes formación escolar ello number septiembre number congreso minedu suscribieron convenio reforzar educación cívica democrática colegios anunciaron conformación comisión fin abriendo así peligrosa puerta injerencia congreso competencias corresponden gobierno number orientación actual gestión minedu realizado tres number talleres consulta validar contenidos textos escolares priorizando participación congresistas asesores fuerza popular miembros situación retiro ffaa proceso validación adquiere así carácter político impone criterios técnico pedagógico especializado deben garantizar derecho educación proceso omite además criterios metodológicos claros así participación amplia especialistas materia number política educativa país debe ser leal historia reciente principios democráticos respeto profundo derechos fundamentales personas advierte consejo derechos humanos naciones unidas estrategia global hacer frente condiciones propician propagación terrorismo medidas eficaces terrorismo protección derechos humanos objetivos contrapuestos number derecho verdad derecho fundamental individual colectivo reconocido tribunal constitucional corte interamericana derechos humanos exige promover políticas aún educación objetividad pasó país cuáles causas sentido minedu puede someterse presiones congreso menos hacerse cómplice negacionismo bajo consideraciones cnddhh exhorta minedu exige peruano promover diálogo amplio abierto contenidos fines mencionados textos escolares conducente garantizar futuras generaciones derecho política educativa memoria respete principios democráticos derecho fundamental verdad https://redaccion.lamula.pe/2018/06/19/memoria-derechos-humanos-conflicto-armado-interno-peru-ministerio-educacion-libros-secundaria-cnddhh/jorgepaucar/ 
5,True 1 64 paso cerca hacer exámenes online paso cerca hacer exámenes online cerca number universitarios seis universidades europeas participan cuatrimestre última fase pruebas programa informático permitirá certificar identidad autoría estudiantes realizan actividades online exámenes trabajos u pruebas proyecto encuentra tercera última fase pruebas piloto pone prueba versión final software incluye herramientas reconocimiento facial voz capturan patrones escritura detectan plagio analizan lenguaje estilo redacción según impulsores dicha fase primera prueba participando number estudiantes universitat oberta catalunya uoc participa number estudiantes number profesores number docentes segunda prueba participarán number number estudiantes el balance dos pruebas anteriores positivo primera examinamos instrumentos forma aislada segunda probó primera versión casi completa sistema explican responsables proyecto iniciativa coordinada uoc recibe nombre tesla sido impulsada consorcio formado number organizaciones universidades grupos investigación empresas agencias calidad bajo paraguas comisión europea presupuesto number millones euros además universidad española implicadas desarrollo programa pruebas open university ou reino unido open universiteit nederlands ounl países bajos anadolu university au turquía university of jyväskylä jyu finlandia university st kliment ohridski sofía su bulgaria technical university of sofia tus bulgaria junto estas consorcio tesla completan university of namur unamur bélgica imperial college of london reino unido instituto minestélécóm imt francia centros investigación instituto nacional astrofísica óptica electrónicainaoe méxico idiap research institute foundation suizo agencias calidad enqa aqu cataluña eqanie además tres empresas tecnológicas lplus gmbh alemania protos sistemas información s l españa wfsw sa watchful portugal https://www.heraldo.es/noticias/suplementos/heraldo-joven/2017/11/24/un-paso-mas-cerca-hacer-examenes-online-1209904-2261031.html 
6,Fake 1 41 unam realizará pruebas antidoping estudiantes sociología filosofía expulsarán den positivo unam realizará pruebas antidoping estudiantes sociología filosofía expulsarán den positivo méxico rector universidad autónoma méxico enrique graue wiechers reveló conferencia prensa partir próximo ciclo escolar estudiantes carreras sociología filosofía sometidos examen antidoping aplicará cada number meses alumnos den positivo expulsados definitivamente institución finalidad frenar venta consumo drogas dentro instalaciones además limpiar fama dichas licenciaturas ser para puro marihuano borracho enrique dejo claro bien sabido dichas facultades consumen sustancias ilícitas dentro instalaciones incluso alumnos apoderado ciertas áreas irse drogar horarios clase hemos sido tolerantes alumnos general descubrimos alumno independientemente facultad encuentre consumiendo bebidas alcohólicas cometiendo falta reglamento inmediatamente trasladado rectoría imponerle castigo que incluso puede llegar expulsión embargo vigilantes cuerpo seguridad sociología filosofía prefieren hacerse vista gorda dichas carreras común alumnos día drogando imposible controlarlos todos anteriores rectores dieron muchas libertades estudiantes hora ponerles alto cosa quieran luchar sistema romper reglas luego hacerse ofendidos comentó graue recordó caso el yorch estudiante hace meses detenido traficar droga dentro inmediaciones auditorio filosofía ese caso conocido único registro realidad decenas alumnos carreras venden compran trafican consumen drogas dentro instalaciones si nada venta consumo da todas carreras voy negar filosofía sociología hacen modo descarado hecho realizaremos pruebas antidoping guste salga amenazaron ir derechos humanos libertad implementar cualquier regla siempre violentemos física psicológicamente alguien alumnos opten seguir drogándose obligados dejar institución cederle lugar alguien realmente deseos ir estudiar agarrar facultad cantina bar echarse churros mota tomarse aguas locas puntualizó http://www.elruinaversal.com/2017/05/06/unam-realizara-pruebas-antidoping-a-estudiantes-de-sociologia-y-filosofia-expulsaran-a-los-que-den-positivo/ 
7,True 1 53 niño number años prepara entrar universidad niño number años prepara entrar universidad coeficiente intelectual number laurent simons terminó educación secundaria año medio dificultad relacionarse niños sigue indeciso futuro aunque mayoría niños algún punto dicen odiar escuela querer volver ir existe pequeño estudios todo laurent simons niño ocho años nacido brujas bélgica acaparado atención medios listo entrar universidad tras terminar promedio perfecto educación secundaria tan sólo number meses recomendamos leer niño pidió ser concha fiesta ¡lo tierno verás hoy acuerdo información canal belga vrt comenzó educación secundaria number ámsterdan culminó tiempo récord gracias coeficiente intelectual number superior rango number number asociado inteligencia media corta edad habla francés alemán holandés aunque inteligencia abierto muchas puertas sido obstáculo ciertas cosas ejemplo hacer amigos según padres simons prefiere estudiar jugar niños hace poco pequeño mente convertirse cirujano astronauta ahora interesado ingeniería gustan matemáticas vastas muchas ramas dice afortunadamente decisión preocupe progenitores pues único desean hijo feliz si decidiera ser carpintero ningún problema importante feliz afirmó padre alexander https://www.excelsior.com.mx/trending/nino-de-8-anos-se-prepara-para-entrar-a-la-universidad/1250474 
8,True 1 52 number palabras creíamos inaceptables rae sorprendentemente aprueba number palabras creíamos inaceptables rae sorprendentemente aprueba cuenta twitter real academia española hierve actividad respuestas consultas usuarios pocas veces dejan indiferente consulta cuál forma correcta referirse internet internet internet cientos preguntas lectores lanzan rae twitter todas respondidas imagen actores yon gonzález julián lópez película perdiendo norte number real academia española acusa muchas cosas de rancia obsoleta lenta reflejos puede reprochar dé cara rae activa redes sociales twitter etiqueta raeconsultas resuelve tipo dudas hispanohablantes propósito términos cotidianos sabemos si correctos no cuenta echa humo consultorio elena francis deja espacio sorpresa aprueba palabras expresiones creíamos erróneas cuales siquiera figuran diccionario ¿eso cómo come expertos lingüistas aclaran ejemplos concretos fanes resulta camilo sesto pecos tequila fans sino fanes lo normal español palabras terminadas n formen plural es igual decimos flanes flans deberíamos decir fanes fans pasa mismo terminados r tendemos decir córners másters pósters adecuado español decir córneres másteres pósteres si no si optado momento revólvers cráters dice juan romeu guasapear denominar guasapear uso whatsapp recuerda sevillanos llamaban mucha guasa rafael portero ruso dassaev atenuante escribir nombre aplicación bastante difícil juan romeu explica así antes extranjerismo crudo siempre preferible emplear forma propia español y si no adaptación español extranjerismo adaptaciones brutas fútbol de football fuagrás de foiegras usamos rechistar además casos sh pasado ch champú de shampoo chut de shoot panorama comprensible rae proponga guasap wasap gente probablemente preferirá wasap prefirió wiski si consigue evitar forma whatsapp en caso tuit parece logrado asentar adaptación profe  profa acortamiento profesor profesora propio balbuceos infantiles padres enrollados rae da válido son correctos hecho otros cine de cinematógrafo micro de micrófono aceptan incluso registro formal sostiene juan romeu doctor filología hispánica universidad complutense csic colaborador rae divulgador web sinfaltascom se añadieron acortamientos diccionario edición number aún number depre de depresión depresivo frigo de frigorífico insti de instituto si alguien interesa ver cuáles diccionario puede usar diccionario avanzado enclave rae nueva plataforma rae internet sí internet suena diría omaíta scketch morancos correcto aunque hablantes usamos internet masculino internet suena fatal verdad si pensamos uso femenino razonable internet red razones censurar u opción curiosamente algún motivo américa suele preponderar femenino casos masculino españa aunque puede depender dudas extranjerismos nuevos story de redes sociales instagram escape room ¿es story story escape room escape room parece táblet forma menos recomendable tableta prefiere mantener femenino tableta usar táblet aclara juan romeu caraanchoa pues sí académicos lengua admiten caraanchoa caranchoa aunque excesivamente frecuente español creación compuestos formados dos nombres posible afirma romeu y parece siendo cada vez productiva actualidad casos partes cuerpo caraculo pelopincho pecholobo… si válidos ¿por iban serlo caraanchoa bocachancla mismo puede decir batamanta compuesto formado dos nombres indican partes compone objeto refiere bata vez manta así pueden considerar válidos compuestos pesar significado tan transparente partir componentes perroflauta feminazi follamigo… hallamos sumergidos momento creación palabras genial lingüistas cualquier aficionado lengua debe desoír arremangar contrariamente cabría pensar arremangar consta diccionario ningún tipo advertencia posible vulgaridad equipara mejor visto remangar así defiende ángel lópez catedrático lingüística universidad valencia divulgador blog lingüística frikis hoy idea hispanohablantes hecho serlo razón si dicen pertenece dominio español sensibilidad actual academia viene después decir sanción académica posterior creación hablantes lideresa ¿por miembra incorrecto y cambio lideresa bien puesto sufijo esa formar femeninos válido español abadesa tigresa condesa vampiresa impide pueda formar considere válido lideresa dice juan romeu en cambio considera justificación gramatical casos miembra portavoza porque principio aún conserva percepción miembro cuerpo elementos forman portavoz usar femeninos similar usar parto lugar parte masculino guardameto guardameta femenino puede considerar válido si asienta uso justificado gramaticalmente agendar verbo raeconsultas dice neologismo válido aunque diccionario explicación es anglicismo crudo americanos dicen falta razón españoles number  hablantes ahí academia quede remedio aceptarlo hablantes américa usan señala catedrático ángel lópez apunta parte juan romeu esta palabra intentó buscar mes pasado ejemplo menos number veces diccionario puede comprobar herramienta registro consultas enclave rae además verbo justificado morfológicamente pues derivado bien formado agenda tanto normal acepte vaya incluir próximamente diccionario bizarro verano pasado lectores dieron carné identidad artículo hablábamos fotos bizarras famosos raras aducían bizarro español solo significa valiente pues mira bien lectores razón es normal rae levantado mano caso dice romeu explica en origen italiano bizzarro significaba iracundo pasó raro fantástico italiano valiente español significado raro italiano llegó francés inglés hace español conocían uso bizarro valiente dieron voz alarma rae empezó censurando uso bizarro raro parece extensión uso hecho pueda admitirlo máxime parece significado raro quizás personaje bizarro cómics difusión significado programas televisión extendido óscares sabemos pensará guillermo toro llamemos óscares colección estatuillas si óscar trata palabra español plural debería ser óscares nombre propio premios recomienda emplear nombre propio inglés premios oscar mantenerlo invariable plural premios oscar nombre común referido estatuilla recomienda usar adaptación óscar cuyo plural debe ser óscares forma óscars híbrido español inglés claro presión inglés aquí alta hartos oír oscars si usa última forma debe escribirse cursiva precisa romeu imprimido participio históricamente reprobado redacciones periódicos revistas decir impreso nunca imprimido primero aprenden becarios que embargo malo es frecuente pensar participio imprimir impreso ejemplo impreso documento embargo imprimido correcto dice rae repetidos tuits aunque cierto impreso usa hace tiempo español siglo xiii imprimido usaba siglo xv razones censurarlo siendo forma regular explica juan romeu en latín serie verbos participio fuerte imprimere impressum etimológico impreso pide cuerpo hablante imprimido academia puede rechazar dice ángel lópez jose por josé celebran santo number marzo atienden nombre tilde ¿por imponérsela hora escribirlo argumento académicos solo aceptan sino dicen debe redactarse modo en caso rae indica forma tradicional recomendada nombre josé incorrecto usar jose hipocorístico es decir nombre cariñoso escribirlo tilde comenta juan romeu iros académico pérezreverte filtró rae iba aceptar iros junto idos forma imperativo irse desató locura twitter palabras romeu costó hacer entender gente imperativo irse debería ser íos escaso cuerpo fónico forma rechazó devolvió rellenar d de id pasado haber añadido r parece últimos tiempos preferido hablantes incluidos hablantes cultos añaden r imperativos y aunque dicen iros dicen sentaros sino sentaos por habría duda común si elegimos hubiera determinadas frases usarla dos veces ejemplo ido verte si sabido aquí aunque contexto indicativo uso forma de subjuntivo considera correcto toma caso indicativo encubierto verdad válido responde romeu https://elpais.com/elpais/2018/03/28/icon/1522232572_682924.html 
9,Fake 1 41 limitarán tiempo egreso filosofía sociología máximo number años evitar formación fósiles limitarán tiempo egreso filosofía sociología máximo number años evitar formación fósiles méxico rector unam enrique luis graue citó medios conferencia prensa informar partir próximo año tiempo egreso carreras filosofía sociología universidades país limitado máximo number años solo normalmente dura licenciatura finalidad frenar formación fósiles así evitar universidades gasto innecesario enrique señala decidieron implementar estrategia dichas carreras registra mayor número fósiles decir alumnos reprueban materias adrede toman solo dos año salen escuela regresar próximo semestre finalidad prolongar estadía universidad convierte zona confort puede interesar lolita vega gana demanda evitar tv azteca vuelva retrasmitir sailor moon las licenciaturas filosofía sociología diseñada acabarse máximo number años carreras registra mayor número chairos guerrilleros existe mayor número fósiles personas institución convierte zona confort hacen posible prolongar estadía sienten miedo terrible salir mundo real universidad sienten parte algo miedo egresar conviertan fantasmas nadie tome cuenta cada alumno universidad pública cuesta usdnumber mil pesos semestrales estado justo gobierno pague dicha cantidad alguien solo inscribe tomar dos materias cada number meses alargar estadía muchas veces llega ser number años dijo luis mencionó licenciaturas duran number semestres partir próximo año solo dará oportunidad estudiar institución number semestres caso retrasen hay gente literalmente dura number semestres universidad va terminar alumnos carreras podrán dar bajas materias si reprueban adrede pasaremos aunque quieran si aun así estudiante empeña reprobar salir desaprovecha año tolerancia entonces dado baja manera automática podrá volver ingresar universidad nunca más carrera ninguna otra justo capricho provoque gobierno gasto millonario incensario puede ser invertido infraestructura nuevo material partir number año tolerancia egresar única manera podemos acabar fósiles puntualizó http://www.elruinaversal.com/2017/05/19/limitaran-el-tiempo-de-egreso-en-filosofia-y-sociologia-a-maximo-5-anos-para-evitar-la-formacion-de-fosiles/ 
